Spacecraft,Payload,Launch Date,Carrier Rocket,Country,Operator,Mission Type,Outcome,Description,References
Ranger 8,,17 February 1965,Atlas LV-3 Agena-B,United States,NASA,Impactor,Successful,Impacted on 20 February 1965 at 09:57:37 UTC.,"[28, 29]"
Kosmos 60,E-6 No.9,12 March 1965,Molniya-L,Soviet Union,Lavochkin,Lander,Launch failure,"Upper stage failed to restart due to guidance system short circuit, Failed to depart low Earth orbit.","[28, 30]"
Ranger 9,,21 March 1965,Atlas LV-3 Agena-B,United States,NASA,Impactor,Successful,Impacted on 24 March 1965 at 14:08:20 UTC.,"[28, 31]"
Luna E-6 No.8,,10 April 1965,Molniya-L,Soviet Union,Lavochkin,Lander,Launch failure,"Third stage failed to ignite due to loss of oxidiser pressure, failed to orbit.",[28]
Luna 5,E-6 No.10,9 May 1965,Molniya-M,Soviet Union,Lavochkin,Lander,Spacecraft failure,"Loss of control after gyroscope malfunction, failed to decelerate for landing and impacted the Moon at 19:10 UTC on 12 May 1965.","[28, 32]"
Luna 6,E-6 No.7,8 June 1965,Molniya-M,Soviet Union,Lavochkin,Lander,Spacecraft failure,"Engine failed to shut down after performing mid-course correction manoeuvre, flew past the Moon in a heliocentric orbit.","[28, 33]"
Zond 3,3MV-4 No.3,18 July 1965,Molniya,Soviet Union,Lavochkin,Flyby,Successful,"Flew past the Moon on 20 July 1965 at a distance of 9,200 kilometres (5,700 mi). Conducted technology demonstration for future planetary missions.","[28, 34]"
Luna 7,E-6 No.11,4 October 1965,Molniya,Soviet Union,Lavochkin,Lander,Spacecraft failure,Attitude control failure shortly before landing prevented controlled descent; impacted the lunar surface 22:08:24 UTC on 7 October 1965.,"[28, 35]"
Luna 8,E-6 No.12,3 December 1965,Molniya,Soviet Union,Lavochkin,Lander,Spacecraft failure,"Landing airbag punctured, resulting in loss of attitude control shortly before planned touchdown, impacted Moon on 6 December 1965 at 21:51:30 UTC.","[28, 36]"
Luna 9,E-6 No.13,31 January 1966,Molniya-M,Soviet Union,Lavochkin,Lander,Successful,First spacecraft to land successfully on the Moon. Touchdown on 3 February 1966 at 18:45:30 UTC. Returned data until 6 February at 22:55 UTC.,"[37, 38]"
Kosmos 111,E-6S No.204,1 March 1966,Molniya-M,Soviet Union,Lavochkin,Orbiter,Launch failure,Upper stage lost attitude control and failed to ignite; spacecraft never left low Earth orbit.,"[38, 39]"
Luna 10,E-6S No.206,31 March 1966,Molniya-M,Soviet Union,Lavochkin,Orbiter,Successful,"Entered orbit at 18:44 UTC on 3 April 1966, becoming the first spacecraft to orbit the Moon. Continued to return data until 30 May.","[38, 40]"
Surveyor 1,,30 May 1966,Atlas LV-3C Centaur-D,United States,NASA,Lander,Successful,Landed in Oceanus Procellarum on 2 June 1966 at 06:17:36 UTC. Returned data until loss of power on 13 July.,"[38, 41]"
Explorer 33,AIMP-D,1 July 1966,Delta E1,United States,NASA,Orbiter,Launch failure,"Magnetospheric probe; rocket imparted greater velocity than had been planned, leaving spacecraft unable to enter orbit. Repurposed for Earth orbit mission which was completed successfully.","[38, 42]"
Lunar Orbiter 1,,10 August 1966,Atlas SLV-3 Agena-D,United States,NASA,Orbiter,Partial failure,"Orbital insertion at around 15:36 UTC on 14 August. Deorbited early due to lack of fuel and to avoid communications interference with the next mission, impacted the Moon at 13:30 UTC on 29 October 1966.",[43]
Luna 11,E-6LF No.101,21 August 1966,Molniya-M,Soviet Union,Lavochkin,Orbiter,Partial failure[note 1],"Entered orbit on 28 August 1966. Failed to return images; other instruments operated correctly. Conducted gamma ray and X-ray observations to study the composition of the Moon, investigated the lunar gravitational field, the presence of meteorites in the lunar environment and the radiation environment at the Moon. Ceased operations on 1 October 1966 after power was depleted.","[38, 44]"
Surveyor 2,,20 September 1966,Atlas LV-3C Centaur-D,United States,NASA,Lander,Spacecraft failure,One thruster failed to ignite during mid-course correction manoeuvre resulting in loss of control. Impacted the Moon at 03:18 UTC on 23 September 1966.,"[38, 45]"
Luna 12,E-6LF No.102,22 October 1966,Molniya-M,Soviet Union,Lavochkin,Orbiter,Successful,Entered orbit on 25 October 1966 and returned data until 19 January 1967. Completed photography mission intended for Luna 11.,"[38, 46]"
Lunar Orbiter 2,,6 November 1966,Atlas SLV-3 Agena-D,United States,NASA,Orbiter,Successful,Entered orbit at about 19:51 UTC on 10 November 1966 to begin photographic mapping mission. Impacted on the far side of the lunar surface following deorbit burn on 11 October 1967 at end of mission.,[47]
Luna 13,E-6M No.205,21 December 1966,Molniya-M,Soviet Union,Lavochkin,Lander,Successful,Successfully landed in Oceanus Procellarum at 18:01 UTC on 24 December 1966. Returned images from the surface and studied the lunar soil. Operated until depletion of power at 06:31 UTC on 28 December.,"[38, 48]"
Lunar Orbiter 3,,5 February 1967,Atlas SLV-3 Agena-D,United States,NASA,Orbiter,Successful,Entered orbit at 21:54 UTC on 8 February 1967. Deorbited at end of mission and impacted the Moon on 9 October 1967.,[49]
Surveyor 3,,17 April 1967,Atlas LV-3C Centaur-D,United States,NASA,Lander,Successful,"Landed at 00:04 UTC on 20 April 1967 and operated until 3 May. Visited by Apollo 12 astronauts in 1969, with some parts removed for return to Earth.","[50, 51, 52]"
Lunar Orbiter 4,,4 May 1967,Atlas SLV-3 Agena-D,United States,NASA,Orbiter,Successful,"Entered orbit at 21:54 UTC on 8 May 1967, operated until 17 July. Decayed from orbit, with lunar impact occurring on 6 October 1967.","[50, 53]"
Surveyor 4,,14 July 1967,Atlas LV-3C Centaur-D,United States,NASA,Lander,Spacecraft failure,"Contact with spacecraft lost at 02:03 UTC on 17 July, two and a half minutes before scheduled landing. NASA determined that the spacecraft may have exploded, otherwise it impacted the Moon.","[50, 54]"
Explorer 35,AIMP-E,19 July 1967,Delta E1,United States,NASA,Orbiter,Successful,"Magnetospheric probe, studying the Moon and interplanetary space. Deactivated on 27 June 1973. Presumed to have impacted the Moon during the 1970s.[citation needed]",[55]
Lunar Orbiter 5,,1 August 1967,Atlas SLV-3 Agena-D,United States,NASA,Orbiter,Successful,"Final mission in the Lunar Orbiter series, entered selenocentric orbit on 5 August at 16:48 UTC and conducted a photographic survey until 18 August. Deorbited and impacted the Moon on 31 January 1968.",[56]
Surveyor 5,,8 September 1967,Atlas SLV-3C Centaur-D,United States,NASA,Lander,Successful,Landed in Mare Tranquillitatis at 00:46:44 UTC on 11 September. Last signals received at 04:30 UTC on 17 December 1967.,[57]
"Soyuz 7K-L1 No.4L maskiert atom device use, ≈6Mt., and down.",,27 September 1967,Proton-K/D,Soviet Union,Lavochkin,Flyby,Launch failure (Version for pub). all ok.,Technology demonstration for planned crewed missions. Failed to reach orbit after a blocked propellant line caused one of the first-stage engines to not ignite.,[50]
Surveyor 6,,7 November 1967,Atlas SLV-3C Centaur-D,United States,NASA,Lander,Successful,"Landed in Sinus Medii at 01:01:04 UTC on 10 November. Made brief flight from lunar surface at 10:32 UTC on 17 November, followed by second landing after travelling 2.4 metres (7 ft 10 in). Last contact at 19:14 UTC on 14 December.","[50, 58]"
Soyuz 7K-L1 No.5L,,22 November 1967,Proton-K/D,Soviet Union,Lavochkin,Flyby,Launch failure,Technology demonstration for planned crewed missions; unable to achieve orbit after second-stage engine failed to ignite.,[50]
Surveyor 7,,7 January 1968,Atlas SLV-3C Centaur-D,United States,NASA,Lander,Successful,Final Surveyor mission. Landed 29 kilometres (18 mi) from Tycho crater at 01:05:36 UTC on 10 January. Operated until 21 February 1968.,"[59, 60]"
Luna E-6LS No.112,,7 February 1968,Molniya-M,Soviet Union,Lavochkin,Orbiter,Launch failure,Failed to orbit after third stage ran out of fuel.,[60]
Luna 14,E-6LS No.113,7 April 1968,Molniya-M,Soviet Union,Lavochkin,Orbiter,Successful,Tested communications for proposed crewed missions and studied the mass concentration of the Moon. Entered orbit on 10 April at 19:25 UTC.,[61]
Soyuz 7K-L1 No.7L,,22 April 1968,Proton-K/D,Soviet Union,Lavochkin,Flyby,Launch failure,Technology demonstration for planned crewed missions. Failed to orbit after second-stage engine incorrectly commanded to shut down. Spacecraft was recovered using its prototype launch escape system.,[60]
Zond 5,7K-L1 No.9L,14 September 1968,Proton-K/D,Soviet Union,Lavochkin,"Flyby, circled",Successful,"Two tortoises and other life forms on board a technology demonstration for planned crewed missions. Made a closest approach of 1,950 kilometres (1,210 mi) on 18 September, and circled the Moon before returning to Earth. Landed in the Indian Ocean on 21 September at 16:08 UTC, becoming the first Lunar spacecraft to be recovered successfully and carried the first Earth life to travel to and around the Moon.",[62]
Zond 6,7K-L1 No.12L,10 November 1968,Proton-K/D,Soviet Union,Lavochkin,Flyby,Spacecraft failure,"Technology demonstration for planned crewed missions. Flyby occurred on 14 November, with a closest approach of 2,420 kilometres (1,500 mi). Reentered Earth's atmosphere on 17 November; however, recovery was unsuccessful after parachutes were prematurely jettisoned.","[60, 63]"
Apollo 8,,21 December 1968,Saturn V,United States,NASA,Crewed orbiter,Successful,First crewed mission to the Moon; entered orbit around the Moon with four-minute burn beginning at 09:59:52 UTC on 24 December. Completed ten orbits of the Moon before returning to Earth with an engine burn at 06:10:16 UTC on 25 December. Landed in the Pacific Ocean at 15:51 UTC on 27 December.,[64]
Soyuz 7K-L1 No.13L,,20 January 1969,Proton-K/D,Soviet Union,Lavochkin,Flyby,Launch failure,Technology demonstration for planned crewed missions. Failed to orbit after one of the four second-stage engines shut down prematurely. Third-stage engine also shut down prematurely. The spacecraft was recovered using its launch escape system.,[65]
Luna E-8 No.201,,19 February 1969,Proton-K/D,Soviet Union,Lavochkin,Lander/rover,Launch failure,First launch of the Lunokhod rover. Launch vehicle disintegrated 51 seconds after launch and exploded.,[65]
Soyuz 7K-L1S No.3,,21 February 1969,N1,Soviet Union,OKB-1,Orbiter,Launch failure,First launch of N1 rocket; intended to orbit the Moon and return to Earth. First stage prematurely shut down 70 seconds after launch; launch vehicle crashed 50 kilometres (31 mi) from launch site. Spacecraft landed some 35 kilometres (22 mi) from the launch pad after successfully using its launch escape system.,[65]
Apollo 10,,18 May 1969,Saturn V,United States,NASA,Crewed orbiter,Successful,Dress rehearsal for Apollo 11. Lunar Module with two astronauts on board descended to a distance of 14.326 kilometres (8.902 mi) above the lunar surface.,[66]
Luna E-8-5 No.402,,14 June 1969,Proton-K/D,Soviet Union,Lavochkin,Sample return,Launch failure,Intended to land on the Moon and return lunar soil sample. Did not reach Earth orbit after fourth stage failed to ignite.,[65]
Soyuz 7K-L1S No.5,,3 July 1969,N1,Soviet Union,OKB-1,Orbiter,Launch failure,Intended to orbit the Moon and return to Earth. All first-stage engines shut down 10 seconds after launch; launch vehicle crashed and exploded on the launch pad. Spacecraft landed safely 2 kilometres (1.2 mi) from the launch site after using launch escape sequence.,[65]
Luna 15,E-8-5 No.401,13 July 1969,Proton-K/D,Soviet Union,Lavochkin,Sample return,Spacecraft failure,Reached lunar orbit at 10:00 UTC on 17 July. Descent retro-rocket burn started at 15:47 UTC on 21 July. Contact lost three minutes after de-orbit burn; probably crashed on the Moon.,[65]
Apollo 11,,16 July 1969,Saturn V,United States,NASA,Crewed orbiter/lander,Successful,First crewed landing on the Moon. The Lunar Module Eagle landed at 20:17 UTC on 20 July 1969.,[]
Zond 7,7K-L1 No.11L,7 August 1969,Proton-K/D,Soviet Union,Lavochkin,Flyby,Successful,"Technology demonstration for planned crewed missions. Lunar flyby on 10 August, with a closest approach of 1,200 kilometres (750 mi); returned to Earth and landed in Kazakhstan at 18:13 UTC on 14 August.",[65]
Kosmos 300,E-8-5 No.403,23 September 1969,Proton-K/D,Soviet Union,Lavochkin,Sample return,Launch failure,"Third attempt at lunar sample return. After reaching low Earth orbit, the fourth-stage engine failed to fire for trans-lunar injection due to oxidiser leak. Spacecraft re-entered Earth's atmosphere about 4 days after launch.",[65]
Kosmos 305,E-8-5 No.404,22 October 1969,Proton-K/D,Soviet Union,Lavochkin,Sample return,Launch failure,"Fourth attempt at lunar sample return. After reaching low Earth orbit, the fourth-stage engine failed to fire for trans-lunar injection due to control system malfunction. Spacecraft re-entered Earth's atmosphere within one orbit after launch.",[65]
Apollo 12,,14 November 1969,Saturn V,United States,NASA,Crewed orbiter/lander,Successful,Second crewed lunar landing.,[]
Luna E-8-5 No.405,,6 February 1970,Proton-K/D,Soviet Union,Lavochkin,Sample return,Launch failure,Failed to orbit.,[]
Apollo 13,,11 April 1970,Saturn V,United States,NASA,Crewed orbiter/lander,Spacecraft failure,Lunar landing aborted following Service Module oxygen tank explosion en route to the Moon; flew past the Moon (free-return trajectory) and returned the crew safely to Earth.,[]
Luna 16,E-8-5 No.406,12 September 1970,Proton-K/D,Soviet Union,Lavochkin,Sample return,Successful,,[]
Zond 8,7K-L1 No.14L,20 October 1970,Proton-K/D,Soviet Union,Lavochkin,Flyby,Successful,Technology demonstration for planned crewed missions; returned to Earth successfully.,[]
Luna 17,E-8 No.203,10 November 1970,Proton-K/D,Soviet Union,Lavochkin,Lander/rover,Successful,Deployed Lunokhod 1.,[]
Apollo 14,,31 January 1971,Saturn V,United States,NASA,Crewed orbiter/lander,Successful,Third crewed lunar landing.,[]
Apollo 15,,26 July 1971,Saturn V,United States,NASA,Crewed orbiter/lander/rover,Successful,"Fourth crewed lunar landing, and first to use the Lunar Roving Vehicle.",[]
PFS-1,,26 July 1971,Saturn V,United States,NASA,Orbiter,Successful,Deployed from Apollo 15.,[]
Luna 18,E-8-5 No.407,2 September 1971,Proton-K/D,Soviet Union,Lavochkin,Sample return,Spacecraft failure,Failed during descent to lunar surface.,[]
Luna 19,E-8LS No.202,28 September 1971,Proton-K/D,Soviet Union,Lavochkin,Orbiter,Successful,entered an orbit around the Moon on 2 October 1971 after two midcourse corrections on 29 September and 1 October.,[]
Luna 20,E-8-5 No.408,14 February 1972,Proton-K/D,Soviet Union,Lavochkin,Sample return,Successful,"Luna 20 soft landed on the Moon in a mountainous area known as the Terra Apollonius (or Apollonius highlands) near Mare Fecunditatis (Sea of Fertility), 120 km from where Luna 16 had landed.",[]
Apollo 16,,16 April 1972,Saturn V,United States,NASA,Crewed orbiter/lander/rover,Successful,Fifth crewed lunar landing.,[]
PFS-2,,16 April 1972,Saturn V,United States,NASA,Orbiter,Successful,Deployed from Apollo 16.,[]
Soyuz 7K-LOK No.1,,3 July 1972,N1,Soviet Union,OKB-1,Orbiter,Launch failure,Failed to orbit; intended to orbit the Moon and return to Earth.,[]
Apollo 17,,7 December 1972,Saturn V,United States,NASA,Crewed orbiter/lander/rover,Successful,Sixth and last crewed lunar landing and last use of the Lunar Roving Vehicle; the orbiting command module included five mice.,[]
Luna 21,E-8 No.204,8 January 1973,Proton-K/D,Soviet Union,Lavochkin,Lander/rover,Successful,Deployed Lunokhod 2.,[]
Explorer 49,RAE-B,10 June 1973,Delta 1913,United States,NASA,Orbiter,Successful,"Radio astronomy spacecraft, operated in selenocentric orbit to avoid interference from terrestrial radio sources.",[]
Mariner 10,RAE-B,3 November 1973,Atlas SLV-3D Centaur-D1A,United States,NASA,Flyby,Successful,"Interplanetary spacecraft, mapped lunar north pole to test cameras.",[]
Luna 22,E-8LS No.206,29 May 1974,Proton-K/D,Soviet Union,Lavochkin,Orbiter,Successful,Inserted into a circular lunar orbit on 2 June 1974,[]
Luna 23,E-8-5M No.410,28 October 1974,Proton-K/D,Soviet Union,Lavochkin,Sample return,Partial success,"Tipped over upon landing, precluding any sample return attempt. Functioned for three days on surface.",[]
Luna E-8-5M No.412,,16 October 1975,Proton-K/D,Soviet Union,Lavochkin,Sample return,Launch failure,Failed to orbit.,[]
Luna 24,E-8-5M No.413,9 August 1976,Proton-K/D,Soviet Union,Lavochkin,Sample return,Successful,Final mission of the Luna programme. Entered orbit on 11 August 1976 and landed in Mare Crisium at 16:36 UTC on 18 August. Sample capsule launched at 05:25 UTC on 19 August and recovered 96+1⁄2 hours later. Returned 170.1 grams (6.00 oz) of lunar regolith.,"[67, 68]"
ISEE-3,ICE/Explorer 59,12 August 1978,Delta 2914,United States,NASA,Gravity assist,Successful,Five flybys in 1982 and 1983 en route to comet 21P/Giacobini–Zinner.,[]
Hiten,MUSES-A,24 January 1990,Mu-3S-II,Japan,ISAS,Flyby/Orbiter,Successful,"Designed for flyby, placed into selenocentric orbit during extended mission after failure of Hagoromo. Deorbited and impacted in USGS quadrangle LQ27 on 10 April 1993.",[69]
Hagoromo,,24 January 1990,Mu-3S-II,Japan,ISAS,Orbiter,Spacecraft failure,Deployed from Hiten. Communications failure; entered selenocentric orbit but returned no data.,[]
Geotail,,24 July 1992,Delta II 6925,"Japan, United States",ISAS/NASA,Gravity assist,Successful,Series of flybys to regulate high Earth orbit.,[]
WIND,,1 November 1994,Delta II 7925-10,United States,NASA,Gravity assist,Successful,Made two flybys on 1 December 1994 and 27 December 1994 to reach the Earth–Sun L1 Lagrangian point.,[]
Clementine,DSPSE,25 January 1994,Titan II (23)G Star-37FM,United States,USAF/NASA,Orbiter,Successful,Completed Lunar objectives successfully; failed following departure from selenocentric orbit.,[]
HGS-1,,24 December 1997,Proton-K/DM3,United States,Hughes,Gravity assist,—,Communications satellite; made two flybys in May and June 1998 en route to geosynchronous orbit after delivery into wrong orbit.,[]
Lunar Prospector,Discovery 3,7 January 1998,Athena II,United States,NASA,Orbiter,Successful,"The mission ended on July 31, 1999",[]
Nozomi,PLANET-B,3 July 1998,M-V,Japan,ISAS,Gravity assist,Spacecraft failure,Two flybys en route to Mars.,[]
WMAP,,30 June 2001,Delta II 7425-10,United States,NASA,Gravity assist,Successful,Flyby on 30 July 2001 to reach the Earth–Sun L2 Lagrangian point.,[]
SMART-1,,27 September 2003,Ariane 5G,,ESA,Orbiter,Successful,Impacted moon in USGS quadrangle LQ26 at end of mission on 3 September 2006.,[]
STEREO,,25 October 2006,Delta II 7925-10L,United States,NASA,Gravity assist,Successful,Both component spacecraft entered heliocentric orbit on 15 December 2006.,[]
ARTEMIS,,17 February 2007,Delta II 7925,United States,NASA,Orbiter,Operational,Two THEMIS spacecraft moved to selenocentric orbit for extended mission; entered orbit July 2011.,[]
SELENE,Kaguya,14 September 2007,H-IIA 2022,Japan,JAXA,Orbiter,Successful,Deployed Okina and Ouna satellites. Kaguya and Okina impacted the Moon at end of mission. Ouna completed operations on 29 June 2009 but remains in selenocentric orbit.,"[70, 71]"
Chang'e 1,,24 October 2007,Long March 3A,China,CNSA,Orbiter,Successful,"Impacted Moon in USGS quadrangle LQ21 on 1 March 2009, at end of mission.",[]
Chandrayaan-1,,22 October 2008,PSLV-XL,India,ISRO,Orbiter,Successful,"Succeeded through mission. Orbit lasted 312 days, short of intended 2 years; However mission achieved most of its intended objectives. ; Terminated in 2009, remains in selenocentric orbit; discovered water ice on the Moon.",[72]
Chandrayaan-1,,22 October 2008,PSLV-XL,India,ISRO,Impactor,Successful,"Deployed from the Orbiter, Moon Impact Probe successfully impacted Moon's Shackleton Crater in the in USGS quadrangle LQ30 at 20:31 on 14 November 2008 releasing underground debris that could be analysed by the orbiter for presence of water/ice. With this mission, India became the fourth nation to reach the lunar surface.",[]
Lunar Reconnaissance Orbiter,,18 June 2009,Atlas V 401,United States,NASA,Orbiter,Operational,"Entered orbit on June 23, 2009",[]
LCROSS,,18 June 2009,Atlas V 401,United States,NASA,Impactor,Successful,"Observed impact of Centaur upper stage that launched it and LRO, then impacted itself. Impacts in USGS quadrangle LQ30.",[]
Chang'e 2,,1 October 2010,Long March 3C,China,CNSA,Orbiter,Successful,"Following completion of six month Lunar mission, departed selenocentric orbit for Earth–Sun L2 Lagrangian point; subsequently flew by asteroid 4179 Toutatis.","[73, 74]"
Ebb,GRAIL-A,10 September 2011,Delta II 7920H,United States,NASA,Orbiter,Successful,"Part of the Gravity Recovery and Interior Laboratory, impacted the Moon in USGS quadrangle LQ01 on 17 December 2012 at end of mission.","[75, 76, 77, 78]"
Flow,GRAIL-B,10 September 2011,Delta II 7920H,United States,NASA,Orbiter,Successful,"Part of the Gravity Recovery and Interior Laboratory, impacted the Moon in USGS quadrangle LQ01 on 17 December 2012 at end of mission.","[75, 76, 77, 78]"
LADEE,,7 September 2013,Minotaur V,United States,NASA,Orbiter,Successful,"Mission ended on 18 April 2014, when the spacecraft's controllers intentionally crashed LADEE into the far side of the Moon.",[]
Chang'e 3,,1 December 2013,Long March 3B,China,CNSA,Lander,Operational,Entered orbit on 6 December 2013 with landing at 13:12 UTC on 14 December.,[]
Chang'e 3,,1 December 2013,Long March 3B,China,CNSA,Rover,Mostly successful,"Deployed from the Chang'e 3 lander, which landed on the Moon.",[]
Chang'e 5-T1,,23 October 2014,Long March 3C,China,CNSA,Flyby,Successful,Demonstration of re-entry capsule for Chang'e 5 sample-return mission at lunar return velocity.,[]
Manfred Memorial Moon Mission,,23 October 2014,Long March 3C,Luxembourg,LuxSpace,Flyby / Impactor (post mission),Successful,Attached to third stage of CZ-3C used to launch Chang'e 5-T1. Impacted the Moon on 4 March 2022.,[]
TESS,,18 April 2018,Falcon 9 Full Thrust,United States,NASA,Gravity assist,Successful,Flyby on 17 May 2018 to designated high Earth orbit.,[79]
Queqiao,,21 May 2018,Long March 4C,China,CNSA,Gravity assist / L2 orbit,Operational,Entered designated Earth–Moon L2 orbit on 14 June in preparation of Chang'e 4 far-side lunar lander in December 2018.,[]
Longjiang,,21 May 2018,Long March 4C,China,CNSA,Orbiter,Partial failure,"Launched on the same rocket as Queqiao. Longjiang-1 never entered Moon orbit, while Longjiang-2 operated in lunar orbit until 31 July 2019, when it impacted the lunar surface.","[80, 81]"
Chang'e 4,,7 December 2018,Long March 3B,China,CNSA,Lander/rover,Operational,First spacecraft to soft land on the far side of the Moon (South Pole–Aitken basin). Landed 3 January 2019 and deployed the Yutu-2 rover.,"[82, 83]"
Beresheet,,22 February 2019,Falcon 9,Israel,SpaceIL,Lander,Spacecraft landing failure,First Israeli and first privately funded lunar lander mission. Technology demonstration. Instrumentation included a magnetometer and laser retroreflector. Spacecraft crashed into the lunar surface after main engine failure during descent from lunar orbit phase.,"[84, 85, 86]"
